Unique Words in Subcorpus 1,Unique Words in Subcorpus 2
hipokrenit,czerny
nikel,horizontëve
parashurama,osroene
kërkuesja,odrin
andhas,daler
sobën,ghuha
siecus,gotrës
escape,egërsinë
nesma,parashtresë
tafa,indoevropianishtes
konsanguinile,cronaca
atëdheut,egistin
lidasit,kojubi
demostrojë,shqipërie
northumberland,gillespie
dreqin,kërkuam
beth,ljudi
spekulua,kapërcime
dobrune,braces
tanker,autobiographical
robbie,italienisch
kanopi,contest
rifillonte,përtu
yliopisto,katedralsës
spektrometria,deit
kliko,vrapo
përzotshme,vacherin
palavli,ngiste
epromet,mmol
ndëraleate,republikine
sajojë,alemdari
asimilua,tpmt
zpetek,spartakasë
kompjuteret,noimagepng
hysejni,vejçare
junction,pasditën
idrizaj,qikat
rajamalla,preshevar
mullabazimici,çautsun
organizonte,përdoruesiuser
arkivuara,glennes
sidornos,kundërvajtësit
saintpierredescorps,polakja
furrave,hidrosanitare
treletër,txhelozojn
privatizuara,gërçanjë
decahedron,konaparvatamin
egzarhitë,mercuer
kajetana,xhibril
danzigprusia,ote
gligorov,primus
ankorimi,egaleo
fabrikua,cornificiusin
ossu,paapelueshëm
shtjellojnë,nevojshem
pillitu,brisku
përqëndrime,mahindra
distalisht,mirëpop
zzap,natori
sarmatian,perkusion
ultësirave,bec
vishishtadvaita,kongjestive
spahinj,moderneditës
knull,budall
anglofrëngjisht,gjembezimi
evitur,astraphobia
ndërtosh,arbeitsbuch
instikteve,kameleonë
ndërshtesa,respektueshëm
biennio,lekure
yamaha,kusrse
pompei,ishtiaq
bilobed,balestra
projektmarrëveshje,lazareviqit
melin,bellosi
vendosuara,adlerbeth
nysj,kyçeve
rusvelt,vixhen
indiferencës,osmanishtes
katabi,gainesville
drejtëperdrejta,pejzazhi
çinstitucionalizimin,vebprezantimin
kundershtim,farna
rrumbullakosur,llojllojshmërisë
frytdhnse,erectus
krabs,shtrezes
prikolog,xhumuahul
trashesi,melanesian
faith,adalsbanan
fushëarësi,italianogjermanë
zhvillimorë,okarina
belegte,tatjanën
nadirëve,christodulos
patronazhi,robotikës
themes,omn
graduan,kundërlëndë
mualim,zaventem
softeve,atropa
editore,shumëbashkëveprim
zalemi,jargonet
kethyene,sinhalezët
duval,fushëdardania
xheferson,kujdesemi
zublua,lepushës
slac,teropodi
arubathimooval,brezovica
ballala,ishstudent
