Unique Words in Subcorpus 1,Unique Words in Subcorpus 2
fanatic,olfaktore
epilogu,vaillant
sllavishtjaavic,christfried
cilësoheshin,zooteknik
bukuren,kaolinë
fdd,dokut
sunnite,duchin
kristja,ilegalistet
begum,shaktin
lëngëzorë,permbytur
iatrogenic,zlindre
njerëzitpeshq,elektrofizikës
bases,imigracione
variolës,hamzën
sucka,diagramimin
aulick,torrentin
lakimi,pakëta
shipckes,përbërjeve
breech,italianas
shejbes,francksenstiftung
jylland,shqiptarovllehe
pensionistëve,objeksionet
prozen,kushtëzimin
rimbau,karrigat
vector,anemik
shjta,abulafia
kokteji,fierishte
tangsilla,trombembolis
jashtëbotë,plugnë
intonacionit,grabitqeve
mccartney,lodhi
çertifikate,luftarrave
tiganëve,antiserbe
tolstojët,decis
proteza,florence
harxhim,kukin
orenditë,soranishtja
dëmtonin,rushaslikej
kelelës,zuun
paleontologjistë,antikushtetues
kolgecaj,antropologu
kvha,pozites
celësit,gjarpërojnë
injektojnë,mbipeshën
oblastima,betahcg
cln,elhaida
pasuronte,gjethëzave
prononcuan,respers
përforcojnë,eskimezët
istaias,vashe
antlers,portofolit
ngulmin,pitonin
shkroj,yi
shqipet,botërorebajram
kaosin,nasasaocxc
thonjeve,msosh
transvestizmin,sanksioneve
bënjës,paced
presidential,ironia
parnassum,litvake
pasagjereve,fortitudos
lirijon,creusot
diodori,lartësohet
alegar,ishkolonitë
plaines,shokuese
giordano,mcculloch
amaratit,mirefillte
logjikes,teknikoteknologjike
terbinafine,nubinë
feto,entuzijastët
shumëllojshmëria,zdurollari
lennonu,onetime
vejsel,përceptim
xcm,shenjtër
udherrefyes,ëndërrojnë
stonington,avarë
provim,prilep
gjalpa,okbja
mëshiroheni,medhaja
sabotatorësh,përmendt
mbeben,rinovirusët
cianobaktereve,parealizuar
unico,kreisau
asist,legionaries
kercnuar,aritmetikë
kërmilldetit,albinizmi
dyndjes,analizoi
lironi,pek
tërmeteve,kshetra
diafragma,vleresimi
londëra,zitë
bride,rejkjavk
buldozer,internuarve
permendura,udbse
