bigram	type	total_count	internal_count	internal_ratio
dd	geminate	9197	4296	0.46710883983907797
ch	consonant_h	6454	2197	0.3404090486519988
th	consonant_h	5147	3197	0.6211385272974548
ll	geminate	3355	2190	0.6527570789865872
ff	geminate	2308	1470	0.6369150779896013
nn	geminate	1600	1561	0.975625
gh	consonant_h	1041	960	0.9221902017291066
rh	consonant_h	928	212	0.22844827586206898
sh	consonant_h	738	295	0.3997289972899729
ph	consonant_h	700	163	0.23285714285714285
nh	consonant_h	691	453	0.6555716353111433
rr	geminate	510	480	0.9411764705882353
ss	geminate	462	316	0.683982683982684
mh	consonant_h	422	200	0.47393364928909953
tt	geminate	349	290	0.830945558739255
mm	geminate	180	149	0.8277777777777777
pp	geminate	145	137	0.9448275862068966
hh	geminate	142	89	0.6267605633802817
gg	geminate	139	127	0.9136690647482014
bb	geminate	136	132	0.9705882352941176
dh	consonant_h	80	78	0.975
cc	geminate	77	68	0.8831168831168831
lh	consonant_h	64	61	0.953125
kh	consonant_h	47	24	0.5106382978723404
kk	geminate	32	26	0.8125
'h	consonant_h	23	10	0.43478260869565216
bh	consonant_h	14	10	0.7142857142857143
fh	consonant_h	11	11	1.0
