Word,OccurTotal,OccurNum,Rating.Mean,Rating.SD,Frequency
momma,19,19,1.58,0.69,412
mama,19,19,1.89,1.29,5289
bantling,21,1,2,NA,0.5
mom,18,18,2.22,1.22,21950
potty,18,18,2.28,0.83,86
water,19,19,2.37,0.76,11478
wet,19,19,2.47,1.35,2000
mommy,20,20,2.5,1.5,3617
spoon,18,18,2.5,0.79,388
nap,19,19,2.53,0.77,645
daddy,18,18,2.56,1.29,9439
dad,19,19,2.58,1.17,25870
grandma,19,19,2.58,1.3,2325
hug,19,19,2.58,0.96,986
shoe,1923,1923,2.6,1.19,1550
count,18,18,2.61,0.98,4588
mother,19,19,2.63,1.07,24476
happy,18,18,2.72,1.6,16993
hand,19,19,2.74,1.24,14262
carrot,19,19,2.74,1.28,195
eat,18,18,2.78,1.48,12846
cry,18,18,2.78,1.66,3348
snack,18,18,2.78,1.22,466
bad,19,19,2.79,1.27,27804
sleep,19,19,2.79,1.03,11625
dog,20,20,2.8,1.2,9835
jump,19,19,2.84,1.3,3561
birthday,20,20,2.85,0.99,4958
stop,18,18,2.89,1.6,36071
big,18,18,2.89,1.08,34824
ask,19,19,2.89,1.37,24640
bed,19,19,2.89,1.41,9543
animal,19,19,2.89,1.41,2320
ball,21,21,2.9,1.22,5353
sock,18,18,2.94,1.39,458
nose,20,20,2.95,1.15,3557
bathroom,19,19,3,1.41,3145
neck,19,19,3,1.25,3035
leg,18,18,3,1.5,2882
toy,19,19,3,1.15,859
toe,20,20,3,1.08,647
door,20,20,3.05,1.15,14895
fly,19,19,3.05,1.18,4335
papa,22,22,3.05,1.5,2172
see,18,18,3.06,1.43,130393
grandpa,18,18,3.06,1.83,1661
man,19,19,3.11,1.24,94133
clothes,18,18,3.11,1.41,5158
flower,19,19,3.11,1.24,1161
cartoon,18,18,3.11,1.32,192
grandmamma,19,19,3.11,1.88,10
lap,20,20,3.15,1.18,687
house,19,19,3.16,1.07,26214
get,18,18,3.17,1.29,233772
hair,18,18,3.17,1.76,7831
soap,18,18,3.17,1.1,775
yellow,20,20,3.2,1.32,1724
crayon,20,20,3.2,1.47,21
pinkie,19,19,3.21,1.4,85
small,18,18,3.22,1.52,6373
rock,18,18,3.22,1.17,4394
towel,18,18,3.22,1.06,722
bathtub,18,18,3.22,1.35,311
bath,1934,1934,3.23,1.56,1587
sad,21,21,3.24,2.21,3232
fire,20,20,3.25,1.16,10990
food,20,20,3.25,1.21,7876
drop,19,19,3.26,1.33,6661
arm,19,19,3.26,1.56,3336
chicken,19,19,3.26,1.73,3148
cake,19,19,3.26,2.28,2298
orange,19,19,3.26,1.15,1138
puppy,18,18,3.28,1.13,584
come,19,19,3.32,1.42,160190
hat,18,18,3.33,1.14,3273
chocolate,18,18,3.33,1.14,1499
toothpaste,18,18,3.33,1.46,160
underpants,20,20,3.35,1.46,150
go,19,19,3.37,1.46,193445
car,19,19,3.37,1.95,24636
hot,19,19,3.37,1.77,9682
milk,19,19,3.37,1.42,2169
cookie,19,19,3.37,1.86,852
sleepy,19,19,3.37,1.89,437
family,21,21,3.38,1.43,18067
backyard,21,21,3.38,1.88,369
sun,20,20,3.4,1.64,3553
clap,20,20,3.4,1.73,241
diaper,21,20,3.4,1.82,218
say,19,19,3.42,1.07,83629
head,19,19,3.42,1.02,18947
bean,19,19,3.42,1.12,349
yummy,19,19,3.42,1.68,228
chair,21,21,3.43,1.33,2511
finger,21,21,3.43,2.2,1870
spider,21,21,3.43,1.54,515
sorry,18,18,3.44,1.89,59566
try,18,18,3.44,2.15,24314
foot,18,18,3.44,1.38,3311
noodle,18,18,3.44,1.98,148
oink,19,18,3.44,1.85,55
walk,20,20,3.45,2.04,11009
sit,19,19,3.47,2.25,15879
drink,19,19,3.47,1.31,12617
sing,19,19,3.47,1.31,4977
breakfast,19,19,3.47,1.81,3381
hill,19,19,3.47,1.47,1915
pillow,19,19,3.47,1.35,581
snowman,19,19,3.47,0.9,97
day,18,18,3.5,1.58,40893
duck,20,20,3.5,1.64,1263
coloring,18,18,3.5,1.25,92
smile,1930,1930,3.51,1.72,2958
people,21,21,3.52,1.6,56252
bird,21,21,3.52,1.66,2318
thanks,19,19,3.53,1.35,31789
blue,19,19,3.53,1.68,5222
shirt,19,19,3.53,1.12,2365
woof,19,19,3.53,1.87,141
moo,19,19,3.53,1.87,106
toilet,1934,1933,3.54,1.65,1474
good,20,20,3.55,1.61,133117
mad,20,20,3.55,1.5,5784
need,18,18,3.56,1.34,66040
speak,18,18,3.56,1.38,9546
black,18,18,3.56,1.92,8565
movie,18,18,3.56,1.54,6271
bottle,18,18,3.56,1.79,2588
friend,21,21,3.57,1.43,21384
tree,1923,1923,3.57,1.61,3315
cup,21,21,3.57,1.99,2634
mouth,19,19,3.58,1.43,5325
key,19,19,3.58,1.54,4430
bear,19,19,3.58,1.68,2928
coat,19,19,3.58,1.22,2146
